hashtag,source
#justice,generic
#plant,generic
#snl46,generic
#unitednations,generic
#usedequipment,generic
#crime,generic
#defi,generic
#eustopfundingmuseveni,opposition
#funny,generic
#johnmulaney,generic
#journeytoconsensus,generic
#mzeesongambele,ruling
#nigerian,generic
#obossofm,generic
#resist,generic
#youth,generic
#adventure,generic
#boulos50,generic
#freemoyiwaawomiyi,generic
#freemrupdate,generic
#freshinandout,generic
#gulu,generic
#hrw,generic
#jeopardy,generic
#katumbaoyeee,generic
#lagos,generic
#livenewschatroom,generic
#nationalagenda,generic
#peoplepowerourpower✊,opposition
#reality,generic
#stopkillingugandans,opposition
#teammun,generic
#ubc,generic
#writerslift,generic
#billandted3,generic
#drainsocialism,generic
#drainthedeepstateluciferiancabal,generic
#ekintabuli,generic
#eleições,generic
#fauciliedpeopledied,generic
#measadoctor,generic
#pbkonline,generic
#stopunfairarrestsinuganda,opposition
